text,is_emergency
Sharp vomiting came out of nowhere. one side of my face feels strange. I lay down but I'm really worried about it.,1
The severe headache has been on and off all day. Possibly a hard workout. Is this something to see a doctor about?,0
The severe headache started after not sleeping enough. I sat down and it passed.,0
Dealing with slight jaw pain from the heat outside. I took antacids and feeling better now.,0
Significant chest pressure today. I sat down. Still not sure if this is normal. Should I call my doctor?,0
Had mild throat tightness and arm pain for the past few hours. Has anyone else experienced this?,0
Woke up with some dizziness. Probably alcohol last night. It went away after I rested.,0
Both disorientation and rapid heart rate today — think it's not sleeping enough. It went away after I rested.,0
I took deep breaths for the terrible sweating but when one side of my face feels strange started I went to the ER. Paramedics checked me over and said it was alcohol last night. What a scare.,0
Both blurred vision and severe headache today — think it's too much caffeine. Much better after lying down.,0
Some difficulty breathing all afternoon. Think it's stress. Better after drinking water.,0
My friend had concerning chest pressure and jaw pain alongside the chest pain — we called 911. Doctors said it was just a hard workout. Back home and resting.,0
The blurred vision comes and goes when I'm stressed. Probably too much caffeine. Ibuprofen helped.,0
My wife had severe sweating and pain radiating to my left arm — we called 911. The ER ran tests and said it was a cold. Discharged after two hours.,0
Had mild weakness today — pretty sure it's just a stressful week. Ibuprofen helped.,0
Woke up with mild throbbing headache. Probably a stressful week. Passed on its own after an hour.,0
The trembling started after sitting too long. I had a snack and it passed.,0
Both lightheadedness and cold sweats today — think it's postural hypotension. Ibuprofen helped.,0
Had sharp throbbing headache with one side of my face feels strange so I went to the ER. Doctors said it was just a hard workout. Back home and resting.,0
Severe throat tightness came out of nowhere. difficulty forming words. I sat down but it keeps coming back.,1
My wife collapsed — severe vomiting and one side of my face feels strange. Rushed to the ER. Urgent care said it was alcohol last night. Relieved it wasn't more serious.,0
Dealing with slight confusion from too much caffeine. I had a snack and it went away after i rested.,0
Having intense heart pounding and stomach cramps. Also one side of my face feels strange. I took ibuprofen but it's getting worse. Should I call my doctor?,1
Some lightheadedness all afternoon. Think it's eating too fast. Feeling better now.,0
My child has intense disorientation and pain radiating to my left arm. They had a snack but it's getting worse. Should I call my doctor?,1
The vision darkening at the edges plus severe arm pain had me in a panic. Went straight to urgent care. My doctor said it was skipping meals and nothing to worry about.,0
I lay down for the bad feeling faint but when jaw pain alongside the chest pain started I went to the ER. My doctor said it was the heat outside and nothing to worry about.,0
My friend collapsed — bad dizziness and pain radiating to my left arm. Rushed to the ER. Paramedics checked me over and said it was a cold. What a scare.,0
Had slight dizziness today — pretty sure it's just not sleeping enough. Much better after lying down.,0
Experiencing bad chest pain that came on earlier today. I rested. Has anyone else experienced this?,0
Woke up with a bit of shortness of breath. Probably skipping meals. It went away after I rested.,0
Noticing a bit of racing heart since this morning. I rested but I'm not sure it helped. Has anyone else experienced this?,0
The vomiting has been on and off all day. Possibly a stressful week. Should I call my doctor?,0
Woke up with concerning numbness. Could be skipping meals but I'm not certain. Does this sound serious?,0
Both arm pain and lightheadedness today — think it's a cold. Much better after lying down.,0
My friend collapsed — severe chest pain and one side of my face feels strange. Rushed to the ER. The ER ran tests and said it was a panic attack. Discharged after two hours.,0
Slight chest pressure all afternoon. Think it's sitting too long. Passed on its own after an hour.,0
Had significant confusion with vision darkening at the edges so I went to the ER. After all the tests they cleared me — just a stressful week.,0
I stepped outside for air for the crushing rapid heart rate but when jaw pain alongside the chest pain started I went to the ER. Turned out to be the heat outside. Feeling much better now.,0
The arm pain started after anxiety. I sat down and it passed.,0
The nausea comes and goes when I'm stressed. Probably a stressful week. It went away after I rested.,0
Dealing with slight rapid heart rate and throat tightness today. Not sure if it's the heat outside or something more. Any advice?,1
The jaw pain started after postural hypotension. I sat down and it passed.,0
Woke up with concerning seeing spots. Could be sitting too long but I'm not certain. Is this something to see a doctor about?,0
A bit of abdominal pain all afternoon. Think it's eating too fast. Much better after lying down.,0
Minor stomach cramps today. I took antacids. Still not sure if this is normal. Should I call my doctor?,0
Had moderate racing heart with jaw pain alongside the chest pain so I went to the ER. Turned out to be skipping meals. Feeling much better now.,0
My child has a bit of racing heart. They took deep breaths but it hasn't fully resolved. Should I be worried?,0
